iter	Passed	Remaining
467	714	812
468	715	810
469	717	808
470	718	806
471	719	804
472	719	802
473	721	800
474	722	798
475	723	795
476	724	794
477	725	792
478	726	790
479	727	788
480	728	786
481	729	784
482	731	782
483	732	780
484	733	778
485	734	776
486	735	775
487	736	773
488	738	771
489	741	771
490	743	770
491	744	769
492	746	767
493	748	766
494	749	764
495	750	762
496	751	760
497	752	758
498	753	756
499	754	754
500	755	752
501	756	750
502	757	748
503	758	746
504	759	744
505	760	742
506	761	740
507	762	738
508	762	735
509	763	733
510	764	731
511	765	729
512	766	728
513	768	726
514	769	724
515	770	722
516	770	720
517	771	718
518	772	716
519	773	714
520	774	712
521	775	710
522	776	708
523	777	706
524	778	704
525	779	702
526	780	700
527	781	698
528	782	696
529	783	694
530	784	692
531	785	691
532	786	689
533	787	687
534	788	685
535	789	683
536	790	681
537	791	679
538	792	677
539	793	675
540	794	673
541	794	671
542	795	669
543	796	667
544	797	666
545	798	664
546	799	662
547	800	660
548	801	658
549	802	656
550	803	654
551	804	652
552	805	651
553	806	649
554	807	647
555	808	645
556	809	643
557	810	641
558	811	639
559	812	638
560	813	636
561	814	634
562	815	633
563	816	631
564	817	629
565	818	627
566	819	625
567	820	623
568	821	622
569	822	620
570	823	618
571	824	616
572	825	614
573	826	613
574	827	611
575	828	609
576	829	607
577	830	606
578	831	604
579	832	602
580	832	600
581	833	598
582	834	597
583	835	595
584	836	593
585	837	591
586	838	590
587	839	588
588	840	586
589	841	584
590	842	583
591	843	581
592	844	579
593	845	577
594	846	576
595	847	574
596	848	572
597	849	571
598	850	569
599	851	567
600	852	565
601	853	564
602	854	562
603	855	560
604	856	558
605	857	557
606	858	555
607	859	553
608	860	552
609	860	550
610	861	548
611	862	547
612	863	545
613	864	543
614	865	541
615	866	540
616	867	538
617	868	536
618	869	535
619	870	533
620	871	531
621	872	530
622	873	528
623	874	526
624	875	525
625	876	523
626	877	521
627	878	520
628	879	518
629	880	516
630	881	515
631	882	513
632	883	512
633	884	510
634	884	508
635	885	507
636	886	505
637	887	503
638	888	502
639	889	500
640	890	498
641	891	497
642	892	495
643	893	493
644	894	492
645	895	490
646	896	489
647	897	487
648	898	485
649	899	484
650	900	482
651	901	481
652	902	479
653	903	477
654	904	476
655	905	474
656	907	473
657	908	472
658	909	470
659	910	469
660	911	467
661	912	466
662	913	464
663	914	462
664	915	461
665	916	459
666	917	458
667	918	456
668	919	454
669	920	453
670	921	451
671	922	450
672	923	448
673	924	447
674	925	445
675	926	444
676	927	442
677	928	440
678	929	439
679	930	437
680	931	436
681	932	434
682	933	433
683	934	431
684	935	429
685	936	428
686	936	426
687	937	425
688	938	423
689	939	422
690	940	420
691	941	419
692	942	417
693	943	416
694	944	414
695	945	413
696	946	411
697	947	409
698	948	408
699	949	407
700	950	405
701	951	404
702	952	402
703	953	401
704	955	399
705	956	398
706	957	396
707	958	395
708	959	393
709	960	392
710	960	390
711	961	389
712	962	387
713	963	386
714	964	384
715	965	383
716	966	381
717	967	380
718	968	378
719	969	377
720	970	375
721	971	374
722	972	372
723	973	371
724	974	369
725	975	368
726	976	366
727	977	365
728	978	363
729	979	362
730	979	360
731	980	359
732	981	357
733	982	356
734	983	354
735	984	353
736	985	351
737	986	350
738	987	348
739	988	347
740	989	345
741	990	344
742	991	342
743	992	341
744	993	340
745	994	338
746	995	337
747	996	335
748	997	334
749	998	332
750	999	331
751	1000	330
752	1001	328
753	1002	327
754	1003	325
755	1004	324
756	1005	322
757	1006	321
758	1007	319
759	1008	318
760	1009	316
761	1010	315
762	1010	314
763	1011	312
764	1012	311
765	1013	309
766	1014	308
767	1015	306
768	1016	305
769	1017	303
770	1018	302
771	1019	301
772	1020	299
773	1021	298
774	1022	296
775	1023	295
776	1024	293
777	1025	292
778	1026	291
779	1027	289
780	1028	288
781	1029	286
782	1030	285
783	1031	284
784	1032	282
785	1032	281
786	1033	279
787	1034	278
788	1035	277
789	1036	275
790	1037	274
791	1038	272
792	1039	271
793	1040	269
794	1041	268
795	1042	267
796	1043	265
797	1044	264
798	1045	262
799	1046	261
800	1047	260
801	1048	258
802	1049	257
803	1050	255
804	1050	254
805	1051	253
806	1052	251
807	1053	250
808	1054	249
809	1055	247
810	1056	246
811	1057	244
812	1058	243
813	1059	242
814	1060	240
815	1061	239
816	1062	237
817	1063	236
818	1064	235
819	1065	233
820	1066	232
821	1067	231
822	1068	229
823	1069	228
824	1070	227
825	1071	225
826	1072	224
827	1073	222
828	1074	221
829	1075	220
830	1076	218
831	1076	217
832	1077	216
833	1078	214
834	1079	213
835	1080	212
836	1081	210
837	1082	209
838	1083	207
839	1084	206
840	1085	205
841	1086	203
842	1087	202
843	1088	201
844	1089	199
845	1090	198
846	1091	197
847	1092	195
848	1093	194
849	1094	193
850	1095	191
851	1096	190
852	1097	189
853	1098	187
854	1099	186
855	1100	185
856	1101	183
857	1102	182
858	1102	181
859	1103	179
860	1104	178
861	1105	177
862	1106	175
863	1107	174
864	1108	173
865	1109	171
866	1110	170
867	1111	169
868	1112	167
869	1113	166
870	1114	165
871	1115	163
872	1116	162
873	1117	161
874	1118	159
875	1119	158
876	1120	157
877	1121	155
878	1122	154
879	1122	153
880	1123	151
881	1124	150
882	1125	149
883	1126	147
884	1127	146
885	1128	145
886	1129	143
887	1130	142
888	1131	141
889	1132	139
890	1133	138
891	1134	137
892	1135	136
893	1136	134
894	1137	133
895	1138	132
896	1139	130
897	1140	129
898	1141	128
899	1141	126
900	1142	125
901	1143	124
902	1144	122
903	1145	121
904	1146	120
905	1147	119
906	1148	117
907	1149	116
908	1150	115
909	1151	113
910	1152	112
911	1153	111
912	1154	109
913	1155	108
914	1156	107
915	1157	106
916	1158	104
917	1159	103
918	1160	102
919	1161	100
920	1161	99
921	1162	98
922	1163	97
923	1164	95
924	1165	94
925	1166	93
926	1167	91
927	1168	90
928	1169	89
929	1170	88
930	1171	86
931	1172	85
932	1173	84
933	1174	82
934	1175	81
935	1176	80
936	1177	79
937	1178	77
938	1179	76
939	1180	75
940	1181	74
941	1182	72
942	1182	71
943	1183	70
944	1184	68
945	1185	67
946	1186	66
947	1187	65
948	1188	63
949	1189	62
950	1190	61
951	1191	60
952	1192	58
953	1193	57
954	1194	56
955	1195	55
956	1196	53
957	1197	52
958	1198	51
959	1199	49
960	1200	48
961	1201	47
962	1202	46
963	1203	44
964	1204	43
965	1205	42
966	1206	41
967	1207	39
968	1209	38
969	1211	37
970	1212	36
971	1213	34
972	1215	33
973	1216	32
974	1217	31
975	1218	29
976	1219	28
977	1220	27
978	1221	26
979	1223	24
980	1226	23
981	1227	22
982	1228	21
983	1229	19
984	1230	18
985	1232	17
986	1233	16
987	1234	14
988	1235	13
989	1236	12
990	1237	11
991	1238	9
992	1239	8
993	1240	7
994	1241	6
995	1242	4
996	1243	3
997	1244	2
998	1245	1
999	1246	0
