iter	Logloss
539	0.4322189232
540	0.4320936513
541	0.4319989632
542	0.4319187871
543	0.4317500478
544	0.4316596942
545	0.4314945055
546	0.431299659
547	0.4311896549
548	0.4309961519
549	0.4308429877
550	0.4307347244
551	0.430494448
552	0.4302939094
553	0.4301330654
554	0.4299911439
555	0.4297741585
556	0.4295428123
557	0.4294248842
558	0.4293369923
559	0.4291714218
560	0.4290234177
561	0.4288391731
562	0.4287673721
563	0.428553461
564	0.4283521769
565	0.428170282
566	0.42804981
567	0.4278787182
568	0.427663618
569	0.4276041664
570	0.4274297242
571	0.427327623
572	0.4271370282
573	0.4269246426
574	0.4267999149
575	0.4265869418
576	0.4264873204
577	0.4262769431
578	0.4261658646
579	0.4260397433
580	0.4259258924
581	0.4257815542
582	0.4257011458
583	0.4256292942
584	0.4254503323
585	0.4252549079
586	0.4251304436
587	0.4249430319
588	0.4247201703
589	0.4245059169
590	0.4243822043
591	0.4242842539
592	0.4240800704
593	0.4239579732
594	0.423833805
595	0.4237053061
596	0.4235803287
597	0.4234761278
598	0.4233511453
599	0.4231507009
600	0.4230330262
601	0.4229324781
602	0.4227964271
603	0.4226914383
604	0.4225564188
605	0.4223911284
606	0.4222546876
607	0.4220882071
608	0.4219812081
609	0.4218725599
610	0.4217935216
611	0.4217123542
612	0.4215803814
613	0.4214836475
614	0.4213140653
615	0.4211972717
616	0.4211170657
617	0.4209720552
618	0.4208284271
619	0.4207043292
620	0.420588406
621	0.4204973428
622	0.4203047149
623	0.4201114922
624	0.419940684
625	0.4197644056
626	0.4196513835
627	0.4195519588
628	0.4194450638
629	0.4192986724
630	0.4190916276
631	0.4189026776
632	0.4187193928
633	0.418608392
634	0.4185027626
635	0.4183208982
636	0.4182385061
637	0.4180542262
638	0.4179751722
639	0.4178613836
640	0.4176770374
641	0.4176080499
642	0.4174302143
643	0.4172464371
644	0.4171142609
645	0.4170496218
646	0.4169530764
647	0.4168070878
648	0.4166683051
649	0.4165815074
650	0.4164519217
651	0.4163571595
652	0.4162315383
653	0.4161051055
654	0.4159243763
655	0.4158080662
656	0.4156954991
657	0.4155346486
658	0.4153427913
659	0.4152524803
660	0.4151236997
661	0.4150365195
662	0.414967448
663	0.4148695345
664	0.4147931511
665	0.4147141906
666	0.4145381719
667	0.4143630897
668	0.4141777692
669	0.4140600183
670	0.4139044668
671	0.4137589868
672	0.4136743364
673	0.4135710682
674	0.413407667
675	0.4133274571
676	0.4132021799
677	0.4131103297
678	0.4129192328
679	0.4128267973
680	0.4127265175
681	0.4126523134
682	0.4125420132
683	0.412430359
684	0.4123344757
685	0.4121616911
686	0.4120685753
687	0.4119821441
688	0.4118164809
689	0.4117154813
690	0.4116115365
691	0.4114738986
692	0.4114067142
693	0.4113354422
694	0.4112423287
695	0.4111744683
696	0.4110607183
697	0.4109628626
698	0.4108549348
699	0.4107327197
700	0.4105966292
701	0.410514545
702	0.4104415269
703	0.4103469473
704	0.4102453244
705	0.4101100908
706	0.4099891231
707	0.409821599
708	0.409743309
709	0.4096005325
710	0.4095060525
711	0.4094303634
712	0.4093300328
713	0.4092614637
714	0.4091148609
715	0.4090686558
716	0.4089612953
717	0.408870235
718	0.4087519171
719	0.4086703969
720	0.4085883496
721	0.4084534592
722	0.4083393116
723	0.4081609886
724	0.4080874872
725	0.4079101556
726	0.4077862267
727	0.4076624512
728	0.4075990521
729	0.4074459198
730	0.4073152257
731	0.4072275836
732	0.4071494357
733	0.407012843
734	0.406916256
735	0.4068328908
736	0.4066832418
737	0.4065490834
738	0.406431278
739	0.4063421987
740	0.4062431513
741	0.4061497814
742	0.4060648821
743	0.405951589
744	0.4057797036
745	0.4056681283
746	0.4055960236
747	0.4054921632
748	0.4054129962
749	0.4053001542
750	0.4052059515
751	0.4050657288
752	0.4049983976
753	0.4049203935
754	0.404825619
755	0.4047661511
756	0.4047331787
757	0.4046764484
758	0.4045772228
759	0.4044494454
760	0.404391026
761	0.4042458314
762	0.4041832647
763	0.4041003737
764	0.4040502568
765	0.4039014961
766	0.4037705988
767	0.4036206525
768	0.4035348171
769	0.403439015
770	0.4033543412
771	0.4032278669
772	0.4031275787
773	0.4030572953
774	0.4029374733
775	0.4027964884
776	0.4027331295
777	0.4026244605
778	0.4024926037
779	0.4024048044
780	0.4023158463
781	0.4022516347
782	0.4021037009
783	0.4019708048
784	0.4018945797
785	0.4018290337
786	0.4017457789
787	0.4016701207
788	0.4015916911
789	0.4014903349
790	0.4014475627
791	0.4013589925
792	0.4012540496
793	0.4012006235
794	0.4010550668
795	0.4009805515
796	0.4008657035
797	0.4007870674
798	0.4007415409
799	0.4006472791
800	0.400580716
801	0.4005214746
802	0.4004281923
803	0.4003186872
804	0.4002326344
805	0.4001334172
806	0.4000075713
807	0.3999378149
808	0.3998287961
809	0.3997266512
810	0.3996304959
811	0.3994983997
812	0.3993588791
813	0.3992906374
814	0.3992078228
815	0.3991135075
816	0.3990261035
817	0.3989564611
818	0.3988820931
819	0.3988153518
820	0.3986828033
821	0.398614112
822	0.3984738542
823	0.398402682
824	0.3983295968
825	0.39822911
826	0.3980836957
827	0.3979329517
828	0.3978650999
829	0.3977935774
830	0.3976639926
831	0.3976022923
832	0.3975110771
833	0.3973643019
834	0.3972618532
835	0.3971649299
836	0.3970929736
837	0.3970357267
838	0.396972812
839	0.3968954504
840	0.3967826093
841	0.3967085474
842	0.3966223129
843	0.3965400691
844	0.3964382283
845	0.3963717731
846	0.3963211661
847	0.3962567008
848	0.3961593266
849	0.3960354215
850	0.3959895355
851	0.3959150152
852	0.3958372187
853	0.3957891965
854	0.3956614428
855	0.3955792743
856	0.3954865064
857	0.3953656342
858	0.3953068364
859	0.3952058988
860	0.3950893786
861	0.3950445905
862	0.3949799945
863	0.3949424509
864	0.3948856714
865	0.3948070486
866	0.3946643782
867	0.3946017053
868	0.3945306163
869	0.3944487478
870	0.3943946858
871	0.3943526831
872	0.3942290112
873	0.3941422805
874	0.3940777378
875	0.3940289191
876	0.3939520319
877	0.3938766443
878	0.3938366971
879	0.3937454917
880	0.3936980196
881	0.3936603377
882	0.3935537094
883	0.3935150145
884	0.3934447232
885	0.3933790629
886	0.3933235576
887	0.3932448121
888	0.3931841665
889	0.3930579692
890	0.3930001089
891	0.3929290771
892	0.3928198436
893	0.3927649549
894	0.3927043978
895	0.3926287008
896	0.3925380398
897	0.3924881318
898	0.3924292851
899	0.3923703537
900	0.3922779057
901	0.3921902102
902	0.3920891634
903	0.3920233052
904	0.3919322358
905	0.391883613
906	0.391829527
907	0.3917455958
908	0.3916809513
909	0.3916141783
910	0.3915426243
911	0.39149483
912	0.391471124
913	0.391411174
914	0.3913575922
915	0.3913160214
916	0.3912450174
917	0.3911859293
918	0.3911273603
919	0.3910227274
920	0.3909734019
921	0.3908667631
922	0.3907540101
923	0.390698739
924	0.3906491587
925	0.3905715004
926	0.3905105548
927	0.390389444
928	0.3903105394
929	0.3901898114
930	0.3901163261
931	0.3900306086
932	0.3899840669
933	0.3899023406
934	0.3898201985
935	0.38975953
936	0.3896304866
937	0.3895699893
938	0.3894900068
939	0.3893958398
940	0.3893105027
941	0.3892573751
942	0.3892019315
943	0.3891206424
944	0.3890798405
945	0.3890566643
946	0.3889738896
947	0.3889119726
948	0.3888407107
949	0.3887850527
950	0.388690944
951	0.3886595808
952	0.3885902407
953	0.3884829208
954	0.3884017919
955	0.3883367509
956	0.3882642396
957	0.3881554212
958	0.388040562
959	0.3879855642
960	0.3878782596
961	0.3878253709
962	0.3877670416
963	0.3877325288
964	0.3876304633
965	0.3875503552
966	0.3874575547
967	0.3874238712
968	0.3873849256
969	0.3873308203
970	0.3872176916
971	0.3870948058
972	0.3870648188
973	0.386997278
974	0.3869034611
975	0.3868529028
976	0.3867821511
977	0.3867287607
978	0.386681507
979	0.3866427055
980	0.3865829557
981	0.3865187586
982	0.3864483299
983	0.3863974665
984	0.3863463303
985	0.3862606961
986	0.3861806952
987	0.386116139
988	0.3860815294
989	0.3860269085
990	0.3859936134
991	0.3859405564
992	0.3858781945
993	0.3858382662
994	0.3857791093
995	0.385670609
996	0.3855924777
997	0.385493317
998	0.3854130688
999	0.3853557228
